region,product,price,
NCR,Rice (well-milled),50.29,
NCR,Rice (regular-milled),42.46,
NCR,Rice (special),58.53,
CAR,Rice (well-milled),53.17,
CAR,Rice (regular-milled),47.06,
CAR,Rice (special),59.40,
Illocos Region,Rice (well-milled),47.63,
Illocos Region,Rice (regular-milled),42.90,
Illocos Region,Rice (special),56.46,
Cagayan Valley,Rice (well-milled),49.34,
Cagayan Valley,Rice (regular-milled),40.48,
Cagayan Valley,Rice (special),58.31,
Central Luzon,Rice (well-milled),51.35,
Central Luzon,Rice (regular-milled),44.63,
Central Luzon,Rice (special),60.43,
CALABARZON,Rice (well-milled),50.75,
CALABARZON,Rice (regular-milled),45.24,
CALABARZON,Rice (special),56.59,
MIMAROPA Region,Rice (well-milled),50.87,
MIMAROPA Region,Rice (regular-milled),44.92,
MIMAROPA Region,Rice (special),62.77,
Bicol Region,Rice (well-milled),51.18,
Bicol Region,Rice (regular-milled),46.23,
Bicol Region,Rice (special),58.66,
Western Visayas,Rice (well-milled),52.53,
Western Visayas,Rice (regular-milled),44.11,
Western Visayas,Rice (special),59.88,
NIR,Rice (well-milled),54.45,
NIR,Rice (regular-milled),48.60,
NIR,Rice (special),62.72,
Central Visayas,Rice (well-milled),53.97,
Central Visayas,Rice (regular-milled),45.80,
Central Visayas,Rice (special),108.32,
Eastern Visayas,Rice (well-milled),52.82,
Eastern Visayas,Rice (regular-milled),46.15,
Eastern Visayas,Rice (special),61.51,
Zamboanga Peninsula,Rice (well-milled),51.95,
Zamboanga Peninsula,Rice (regular-milled),45.82,
Zamboanga Peninsula,Rice (special),54.05,
Northern Mindanao,Rice (well-milled),52.95,
Northern Mindanao,Rice (regular-milled),47.50,
Northern Mindanao,Rice (special),58.73,
Davao Region,Rice (well-milled),51.86,
Davao Region,Rice (regular-milled),44.83,
Davao Region,Rice (special),56.68,
SOCCSKSARGEN,Rice (well-milled),46.23,
SOCCSKSARGEN,Rice (regular-milled),41.92,
SOCCSKSARGEN,Rice (special),53.70,
Caraga,Rice (well-milled),49.30,
Caraga,Rice (regular-milled),44.94,
Caraga,Rice (special),55.39,
BARMM,Rice (well-milled),51.90,
BARMM,Rice (regular-milled),46.88,
BARMM,Rice (special),58.52,
NCR,Carrot,105.35,
NCR,Turnip,0.00,
NCR,Raddish,98.31,
NCR,Potato,114.80,
NCR,Sweet Potato,76.26,
NCR,Ube,0.00,
NCR,Gabi tubers,0.00,
CAR,Carrot,86.55,
CAR,Turnip,0.00,
CAR,Raddish,0.00,
CAR,Potato,97.87,
CAR,Sweet Potato,64.25,
CAR,Ube,0.00,
CAR,Gabi tubers,86.46,
Illocos Region,Carrot,113.13,
Illocos Region,Turnip,0.00,
Illocos Region,Raddish,0.00,
Illocos Region,Potato,109.54,
Illocos Region,Sweet Potato,0.00,
Illocos Region,Ube,0.00,
Illocos Region,Gabi tubers,69.21,
Cagayan Valley,Carrot,97.19,
Cagayan Valley,Turnip,58.05,
Cagayan Valley,Raddish,97.71,
Cagayan Valley,Potato,129.00,
Cagayan Valley,Sweet Potato,0.00,
Cagayan Valley,Ube,69.17,
Cagayan Valley,Gabi tubers,0.00,
Central Luzon,Carrot,112.22,
Central Luzon,Turnip,73.48,
Central Luzon,Raddish,83.20,
Central Luzon,Potato,115.89,
Central Luzon,Sweet Potato,0.00,
Central Luzon,Ube,78.82,
Central Luzon,Gabi tubers,0.00,
CALABARZON,Carrot,121.65,
CALABARZON,Turnip,0.00,
CALABARZON,Raddish,100.47,
CALABARZON,Potato,120.02,
CALABARZON,Sweet Potato,71.73,
CALABARZON,Ube,0.00,
CALABARZON,Gabi tubers,0.00,
MIMAROPA Region,Carrot,165.80,
MIMAROPA Region,Turnip,0.00,
MIMAROPA Region,Raddish,120.92,
MIMAROPA Region,Potato,145.77,
MIMAROPA Region,Sweet Potato,0.00,
MIMAROPA Region,Ube,57.29,
MIMAROPA Region,Gabi tubers,89.46,
Bicol Region,Carrot,139.90,
Bicol Region,Turnip,0.00,
Bicol Region,Raddish,0.00,
Bicol Region,Potato,134.97,
Bicol Region,Sweet Potato,66.57,
Bicol Region,Ube,0.00,
Bicol Region,Gabi tubers,0.00,
Western Visayas,Carrot,137.48,
Western Visayas,Turnip,0.00,
Western Visayas,Raddish,91.47,
Western Visayas,Potato,141.79,
Western Visayas,Sweet Potato,0.00,
Western Visayas,Ube,0.00,
Western Visayas,Gabi tubers,0.00,
NIR,Carrot,140.40,
NIR,Turnip,0.00,
NIR,Raddish,81.05,
NIR,Potato,142.45,
NIR,Sweet Potato,0.00,
NIR,Ube,0.00,
NIR,Gabi tubers,0.00,
Central Visayas,Carrot,114.02,
Central Visayas,Turnip,0.00,
Central Visayas,Raddish,0.00,
Central Visayas,Potato,129.80,
Central Visayas,Sweet Potato,0.00,
Central Visayas,Ube,111.25,
Central Visayas,Gabi tubers,0.00,
Eastern Visayas,Carrot,159.30,
Eastern Visayas,Turnip,0.00,
Eastern Visayas,Raddish,113.67,
Eastern Visayas,Potato,166.22,
Eastern Visayas,Sweet Potato,0.00,
Eastern Visayas,Ube,0.00,
Eastern Visayas,Gabi tubers,0.00,
Zamboanga Peninsula,Carrot,114.23,
Zamboanga Peninsula,Turnip,0.00,
Zamboanga Peninsula,Raddish,0.00,
Zamboanga Peninsula,Potato,150.89,
Zamboanga Peninsula,Sweet Potato,0.00,
Zamboanga Peninsula,Ube,63.93,
Zamboanga Peninsula,Gabi tubers,0.00,
Northern Mindanao,Carrot,96.67,
Northern Mindanao,Turnip,0.00,
Northern Mindanao,Raddish,71.56,
Northern Mindanao,Potato,133.43,
Northern Mindanao,Sweet Potato,0.00,
Northern Mindanao,Ube,93.32,
Northern Mindanao,Gabi tubers,0.00,
Davao Region,Carrot,104.66,
Davao Region,Turnip,0.00,
Davao Region,Raddish,84.74,
Davao Region,Potato,146.32,
Davao Region,Sweet Potato,50.63,
Davao Region,Ube,0.00,
Davao Region,Gabi tubers,0.00,
SOCCSKSARGEN,Carrot,104.68,
SOCCSKSARGEN,Turnip,60.87,
SOCCSKSARGEN,Raddish,64.40,
SOCCSKSARGEN,Potato,128.29,
SOCCSKSARGEN,Sweet Potato,0.00,
SOCCSKSARGEN,Ube,0.00,
SOCCSKSARGEN,Gabi tubers,48.83,
Caraga,Carrot,115.51,
Caraga,Turnip,0.00,
Caraga,Raddish,0.00,
Caraga,Potato,154.00,
Caraga,Sweet Potato,0.00,
Caraga,Ube,0.00,
Caraga,Gabi tubers,58.13,
BARMM,Carrot,152.37,
BARMM,Turnip,0.00,
BARMM,Raddish,79.65,
BARMM,Potato,145.27,
BARMM,Sweet Potato,53.71,
BARMM,Ube,0.00,
BARMM,Gabi tubers,53.09,
NCR,String Beans,0.00,
NCR,Baguio Beans,118.35,
NCR,Green Monggo,117.92,
CAR,String Beans,95.48,
CAR,Baguio Beans,90.68,
CAR,Green Monggo,111.94,
Illocos Region,String Beans,82.31,
Illocos Region,Baguio Beans,115.42,
Illocos Region,Green Monggo,102.05,
Cagayan Valley,String Beans,110.45,
Cagayan Valley,Baguio Beans,86.04,
Cagayan Valley,Green Monggo,114.58,
Central Luzon,String Beans,125.22,
Central Luzon,Baguio Beans,126.60,
Central Luzon,Green Monggo,114.06,
CALABARZON,String Beans,111.16,
CALABARZON,Baguio Beans,126.41,
CALABARZON,Green Monggo,0.00,
MIMAROPA Region,String Beans,0.00,
MIMAROPA Region,Baguio Beans,167.55,
MIMAROPA Region,Green Monggo,107.45,
Bicol Region,String Beans,116.17,
Bicol Region,Baguio Beans,143.28,
Bicol Region,Green Monggo,115.20,
Western Visayas,String Beans,78.95,
Western Visayas,Baguio Beans,125.21,
Western Visayas,Green Monggo,107.50,
NIR,String Beans,97.11,
NIR,Baguio Beans,106.21,
NIR,Green Monggo,88.75,
Central Visayas,String Beans,76.40,
Central Visayas,Baguio Beans,97.17,
Central Visayas,Green Monggo,93.54,
Eastern Visayas,String Beans,111.85,
Eastern Visayas,Baguio Beans,133.32,
Eastern Visayas,Green Monggo,106.37,
Zamboanga Peninsula,String Beans,60.96,
Zamboanga Peninsula,Baguio Beans,108.18,
Zamboanga Peninsula,Green Monggo,104.31,
Northern Mindanao,String Beans,63.80,
Northern Mindanao,Baguio Beans,93.78,
Northern Mindanao,Green Monggo,112.67,
Davao Region,String Beans,77.11,
Davao Region,Baguio Beans,0.00,
Davao Region,Green Monggo,109.17,
SOCCSKSARGEN,String Beans,55.44,
SOCCSKSARGEN,Baguio Beans,99.81,
SOCCSKSARGEN,Green Monggo,88.66,
Caraga,String Beans,86.83,
Caraga,Baguio Beans,115.91,
Caraga,Green Monggo,105.28,
BARMM,String Beans,81.22,
BARMM,Baguio Beans,120.65,
BARMM,Green Monggo,102.64,
NCR,Garlic (imported),156.67,
NCR,Garlic (local),0.00,
NCR,Galic (native),332.44,
NCR,Onion (Red),137.09,
NCR,Onion (White),115.63,
NCR,Onion (native),0.00,
NCR,Ginger (loose),191.43,
CAR,Garlic (imported),143.44,
CAR,Garlic (local),0.00,
CAR,Galic (native),174.97,
CAR,Onion (Red),142.22,
CAR,Onion (White),0.00,
CAR,Onion (native),113.75,
CAR,Ginger (loose),148.78,
Illocos Region,Garlic (imported),0.00,
Illocos Region,Garlic (local),0.00,
Illocos Region,Galic (native),239.51,
Illocos Region,Onion (Red),129.93,
Illocos Region,Onion (White),0.00,
Illocos Region,Onion (native),112.92,
Illocos Region,Ginger (loose),168.29,
Cagayan Valley,Garlic (imported),150.94,
Cagayan Valley,Garlic (local),0.00,
Cagayan Valley,Galic (native),185.21,
Cagayan Valley,Onion (Red),157.17,
Cagayan Valley,Onion (White),111.98,
Cagayan Valley,Onion (native),126.04,
Cagayan Valley,Ginger (loose),195.63,
Central Luzon,Garlic (imported),160.18,
Central Luzon,Garlic (local),0.00,
Central Luzon,Galic (native),174.01,
Central Luzon,Onion (Red),135.03,
Central Luzon,Onion (White),136.91,
Central Luzon,Onion (native),118.59,
Central Luzon,Ginger (loose),191.72,
CALABARZON,Garlic (imported),156.02,
CALABARZON,Garlic (local),0.00,
CALABARZON,Galic (native),202.71,
CALABARZON,Onion (Red),132.23,
CALABARZON,Onion (White),0.00,
CALABARZON,Onion (native),162.17,
CALABARZON,Ginger (loose),194.68,
MIMAROPA Region,Garlic (imported),162.52,
MIMAROPA Region,Garlic (local),0.00,
MIMAROPA Region,Galic (native),183.15,
MIMAROPA Region,Onion (Red),148.34,
MIMAROPA Region,Onion (White),0.00,
MIMAROPA Region,Onion (native),119.94,
MIMAROPA Region,Ginger (loose),147.64,
Bicol Region,Garlic (imported),167.76,
Bicol Region,Garlic (local),0.00,
Bicol Region,Galic (native),168.78,
Bicol Region,Onion (Red),151.40,
Bicol Region,Onion (White),140.63,
Bicol Region,Onion (native),183.65,
Bicol Region,Ginger (loose),180.17,
Western Visayas,Garlic (imported),0.00,
Western Visayas,Garlic (local),0.00,
Western Visayas,Galic (native),162.54,
Western Visayas,Onion (Red),159.62,
Western Visayas,Onion (White),0.00,
Western Visayas,Onion (native),0.00,
Western Visayas,Ginger (loose),171.71,
NIR,Garlic (imported),164.91,
NIR,Garlic (local),152.50,
NIR,Galic (native),0.00,
NIR,Onion (Red),166.23,
NIR,Onion (White),0.00,
NIR,Onion (native),0.00,
NIR,Ginger (loose),185.23,
Central Visayas,Garlic (imported),167.08,
Central Visayas,Garlic (local),0.00,
Central Visayas,Galic (native),151.77,
Central Visayas,Onion (Red),0.00,
Central Visayas,Onion (White),0.00,
Central Visayas,Onion (native),165.46,
Central Visayas,Ginger (loose),157.03,
Eastern Visayas,Garlic (imported),179.36,
Eastern Visayas,Garlic (local),0.00,
Eastern Visayas,Galic (native),176.66,
Eastern Visayas,Onion (Red),178.29,
Eastern Visayas,Onion (White),162.29,
Eastern Visayas,Onion (native),176.68,
Eastern Visayas,Ginger (loose),179.05,
Zamboanga Peninsula,Garlic (imported),169.40,
Zamboanga Peninsula,Garlic (local),156.41,
Zamboanga Peninsula,Galic (native),138.75,
Zamboanga Peninsula,Onion (Red),170.34,
Zamboanga Peninsula,Onion (White),0.00,
Zamboanga Peninsula,Onion (native),144.89,
Zamboanga Peninsula,Ginger (loose),133.57,
Northern Mindanao,Garlic (imported),176.19,
Northern Mindanao,Garlic (local),161.77,
Northern Mindanao,Galic (native),178.45,
Northern Mindanao,Onion (Red),156.29,
Northern Mindanao,Onion (White),135.38,
Northern Mindanao,Onion (native),161.06,
Northern Mindanao,Ginger (loose),134.94,
Davao Region,Garlic (imported),171.33,
Davao Region,Garlic (local),160.73,
Davao Region,Galic (native),184.29,
Davao Region,Onion (Red),168.75,
Davao Region,Onion (White),0.00,
Davao Region,Onion (native),164.06,
Davao Region,Ginger (loose),150.11,
SOCCSKSARGEN,Garlic (imported),162.46,
SOCCSKSARGEN,Garlic (local),0.00,
SOCCSKSARGEN,Galic (native),139.69,
SOCCSKSARGEN,Onion (Red),166.27,
SOCCSKSARGEN,Onion (White),0.00,
SOCCSKSARGEN,Onion (native),152.29,
SOCCSKSARGEN,Ginger (loose),147.42,
Caraga,Garlic (imported),173.21,
Caraga,Garlic (local),0.00,
Caraga,Galic (native),168.33,
Caraga,Onion (Red),167.94,
Caraga,Onion (White),0.00,
Caraga,Onion (native),173.89,
Caraga,Ginger (loose),168.98,
BARMM,Garlic (imported),169.66,
BARMM,Garlic (local),0.00,
BARMM,Galic (native),170.11,
BARMM,Onion (Red),160.44,
BARMM,Onion (White),185.59,
BARMM,Onion (native),195.67,
BARMM,Ginger (loose),135.40,
NCR,Cucumber,87.51,
NCR,Eggpplant,109.19,
NCR,Tomato,79.34,
NCR,Ampalaya,122.95,
NCR,Chayote,47.14,
NCR,Upo,45.92,
NCR,Patola,94.65,
NCR,Squash,52.97,
NCR,Okra,0.00,
CAR,Cucumber,80.51,
CAR,Eggpplant,87.76,
CAR,Tomato,68.49,
CAR,Ampalaya,100.61,
CAR,Chayote,37.22,
CAR,Upo,46.26,
CAR,Patola,0.00,
CAR,Squash,53.13,
CAR,Okra,0.00,
Illocos Region,Cucumber,76.63,
Illocos Region,Eggpplant,82.31,
Illocos Region,Tomato,65.45,
Illocos Region,Ampalaya,97.47,
Illocos Region,Chayote,46.70,
Illocos Region,Upo,0.00,
Illocos Region,Patola,68.15,
Illocos Region,Squash,45.56,
Illocos Region,Okra,80.21,
Cagayan Valley,Cucumber,65.18,
Cagayan Valley,Eggpplant,97.48,
Cagayan Valley,Tomato,92.85,
Cagayan Valley,Ampalaya,124.76,
Cagayan Valley,Chayote,45.54,
Cagayan Valley,Upo,56.79,
Cagayan Valley,Patola,80.52,
Cagayan Valley,Squash,57.26,
Cagayan Valley,Okra,112.55,
Central Luzon,Cucumber,80.78,
Central Luzon,Eggpplant,102.51,
Central Luzon,Tomato,82.02,
Central Luzon,Ampalaya,114.73,
Central Luzon,Chayote,53.03,
Central Luzon,Upo,43.10,
Central Luzon,Patola,69.77,
Central Luzon,Squash,58.94,
Central Luzon,Okra,114.86,
CALABARZON,Cucumber,82.59,
CALABARZON,Eggpplant,108.63,
CALABARZON,Tomato,84.87,
CALABARZON,Ampalaya,116.18,
CALABARZON,Chayote,52.95,
CALABARZON,Upo,45.09,
CALABARZON,Patola,49.88,
CALABARZON,Squash,61.17,
CALABARZON,Okra,0.00,
MIMAROPA Region,Cucumber,88.77,
MIMAROPA Region,Eggpplant,114.04,
MIMAROPA Region,Tomato,101.66,
MIMAROPA Region,Ampalaya,117.45,
MIMAROPA Region,Chayote,65.56,
MIMAROPA Region,Upo,54.31,
MIMAROPA Region,Patola,78.45,
MIMAROPA Region,Squash,55.93,
MIMAROPA Region,Okra,132.29,
Bicol Region,Cucumber,79.78,
Bicol Region,Eggpplant,128.62,
Bicol Region,Tomato,114.94,
Bicol Region,Ampalaya,132.12,
Bicol Region,Chayote,63.66,
Bicol Region,Upo,46.13,
Bicol Region,Patola,0.00,
Bicol Region,Squash,54.07,
Bicol Region,Okra,139.79,
Western Visayas,Cucumber,78.46,
Western Visayas,Eggpplant,105.16,
Western Visayas,Tomato,99.50,
Western Visayas,Ampalaya,106.80,
Western Visayas,Chayote,59.07,
Western Visayas,Upo,51.11,
Western Visayas,Patola,75.18,
Western Visayas,Squash,42.24,
Western Visayas,Okra,84.72,
NIR,Cucumber,97.17,
NIR,Eggpplant,84.85,
NIR,Tomato,104.42,
NIR,Ampalaya,112.07,
NIR,Chayote,49.69,
NIR,Upo,0.00,
NIR,Patola,88.51,
NIR,Squash,39.52,
NIR,Okra,0.00,
Central Visayas,Cucumber,64.27,
Central Visayas,Eggpplant,79.61,
Central Visayas,Tomato,85.57,
Central Visayas,Ampalaya,98.79,
Central Visayas,Chayote,49.07,
Central Visayas,Upo,0.00,
Central Visayas,Patola,0.00,
Central Visayas,Squash,34.47,
Central Visayas,Okra,93.04,
Eastern Visayas,Cucumber,79.91,
Eastern Visayas,Eggpplant,105.32,
Eastern Visayas,Tomato,119.08,
Eastern Visayas,Ampalaya,124.66,
Eastern Visayas,Chayote,49.50,
Eastern Visayas,Upo,53.34,
Eastern Visayas,Patola,0.00,
Eastern Visayas,Squash,46.07,
Eastern Visayas,Okra,116.38,
Zamboanga Peninsula,Cucumber,56.88,
Zamboanga Peninsula,Eggpplant,71.60,
Zamboanga Peninsula,Tomato,91.39,
Zamboanga Peninsula,Ampalaya,86.58,
Zamboanga Peninsula,Chayote,28.51,
Zamboanga Peninsula,Upo,0.00,
Zamboanga Peninsula,Patola,46.39,
Zamboanga Peninsula,Squash,38.72,
Zamboanga Peninsula,Okra,66.83,
Northern Mindanao,Cucumber,52.14,
Northern Mindanao,Eggpplant,70.80,
Northern Mindanao,Tomato,96.39,
Northern Mindanao,Ampalaya,88.16,
Northern Mindanao,Chayote,29.08,
Northern Mindanao,Upo,45.81,
Northern Mindanao,Patola,0.00,
Northern Mindanao,Squash,36.21,
Northern Mindanao,Okra,73.71,
Davao Region,Cucumber,57.58,
Davao Region,Eggpplant,72.91,
Davao Region,Tomato,82.24,
Davao Region,Ampalaya,83.19,
Davao Region,Chayote,16.90,
Davao Region,Upo,46.07,
Davao Region,Patola,82.08,
Davao Region,Squash,34.04,
Davao Region,Okra,81.35,
SOCCSKSARGEN,Cucumber,51.53,
SOCCSKSARGEN,Eggpplant,59.01,
SOCCSKSARGEN,Tomato,66.70,
SOCCSKSARGEN,Ampalaya,77.45,
SOCCSKSARGEN,Chayote,27.89,
SOCCSKSARGEN,Upo,34.51,
SOCCSKSARGEN,Patola,46.22,
SOCCSKSARGEN,Squash,25.75,
SOCCSKSARGEN,Okra,53.96,
Caraga,Cucumber,63.18,
Caraga,Eggpplant,82.99,
Caraga,Tomato,100.31,
Caraga,Ampalaya,102.97,
Caraga,Chayote,38.74,
Caraga,Upo,40.57,
Caraga,Patola,67.50,
Caraga,Squash,43.00,
Caraga,Okra,72.28,
BARMM,Cucumber,47.27,
BARMM,Eggpplant,63.11,
BARMM,Tomato,98.14,
BARMM,Ampalaya,89.19,
BARMM,Chayote,32.51,
BARMM,Upo,37.99,
BARMM,Patola,56.43,
BARMM,Squash,33.39,
BARMM,Okra,61.19,
NCR,Cabbage,90.58,
NCR,Cauliflower,0.00,
NCR,Puso ng Saging,0.00,
NCR,Kangkong,86.30,
NCR,Malunggay,0.00,
NCR,Pechay (Chinese),0.00,
NCR,Pechay (Native),95.60,
NCR,Onion Leaves,0.00,
CAR,Cabbage,66.76,
CAR,Cauliflower,0.00,
CAR,Puso ng Saging,0.00,
CAR,Kangkong,0.00,
CAR,Malunggay,0.00,
CAR,Pechay (Chinese),63.68,
CAR,Pechay (Native),39.58,
CAR,Onion Leaves,0.00,
Illocos Region,Cabbage,70.17,
Illocos Region,Cauliflower,103.28,
Illocos Region,Puso ng Saging,0.00,
Illocos Region,Kangkong,0.00,
Illocos Region,Malunggay,0.00,
Illocos Region,Pechay (Chinese),70.31,
Illocos Region,Pechay (Native),56.46,
Illocos Region,Onion Leaves,0.00,
Cagayan Valley,Cabbage,82.96,
Cagayan Valley,Cauliflower,178.13,
Cagayan Valley,Puso ng Saging,0.00,
Cagayan Valley,Kangkong,0.00,
Cagayan Valley,Malunggay,0.00,
Cagayan Valley,Pechay (Chinese),0.00,
Cagayan Valley,Pechay (Native),67.50,
Cagayan Valley,Onion Leaves,0.00,
Central Luzon,Cabbage,88.23,
Central Luzon,Cauliflower,162.93,
Central Luzon,Puso ng Saging,58.25,
Central Luzon,Kangkong,0.00,
Central Luzon,Malunggay,0.00,
Central Luzon,Pechay (Chinese),0.00,
Central Luzon,Pechay (Native),85.59,
Central Luzon,Onion Leaves,203.65,
CALABARZON,Cabbage,95.24,
CALABARZON,Cauliflower,0.00,
CALABARZON,Puso ng Saging,0.00,
CALABARZON,Kangkong,0.00,
CALABARZON,Malunggay,0.00,
CALABARZON,Pechay (Chinese),0.00,
CALABARZON,Pechay (Native),91.77,
CALABARZON,Onion Leaves,0.00,
MIMAROPA Region,Cabbage,122.88,
MIMAROPA Region,Cauliflower,0.00,
MIMAROPA Region,Puso ng Saging,0.00,
MIMAROPA Region,Kangkong,0.00,
MIMAROPA Region,Malunggay,0.00,
MIMAROPA Region,Pechay (Chinese),0.00,
MIMAROPA Region,Pechay (Native),0.00,
MIMAROPA Region,Onion Leaves,0.00,
Bicol Region,Cabbage,118.49,
Bicol Region,Cauliflower,0.00,
Bicol Region,Puso ng Saging,57.69,
Bicol Region,Kangkong,46.50,
Bicol Region,Malunggay,0.00,
Bicol Region,Pechay (Chinese),0.00,
Bicol Region,Pechay (Native),121.59,
Bicol Region,Onion Leaves,0.00,
Western Visayas,Cabbage,120.32,
Western Visayas,Cauliflower,0.00,
Western Visayas,Puso ng Saging,0.00,
Western Visayas,Kangkong,41.67,
Western Visayas,Malunggay,0.00,
Western Visayas,Pechay (Chinese),0.00,
Western Visayas,Pechay (Native),81.11,
Western Visayas,Onion Leaves,286.36,
NIR,Cabbage,98.91,
NIR,Cauliflower,0.00,
NIR,Puso ng Saging,0.00,
NIR,Kangkong,0.00,
NIR,Malunggay,0.00,
NIR,Pechay (Chinese),75.63,
NIR,Pechay (Native),0.00,
NIR,Onion Leaves,0.00,
Central Visayas,Cabbage,68.57,
Central Visayas,Cauliflower,0.00,
Central Visayas,Puso ng Saging,0.00,
Central Visayas,Kangkong,78.65,
Central Visayas,Malunggay,0.00,
Central Visayas,Pechay (Chinese),0.00,
Central Visayas,Pechay (Native),88.72,
Central Visayas,Onion Leaves,158.02,
Eastern Visayas,Cabbage,112.96,
Eastern Visayas,Cauliflower,0.00,
Eastern Visayas,Puso ng Saging,0.00,
Eastern Visayas,Kangkong,24.85,
Eastern Visayas,Malunggay,0.00,
Eastern Visayas,Pechay (Chinese),110.00,
Eastern Visayas,Pechay (Native),107.02,
Eastern Visayas,Onion Leaves,156.39,
Zamboanga Peninsula,Cabbage,90.86,
Zamboanga Peninsula,Cauliflower,0.00,
Zamboanga Peninsula,Puso ng Saging,0.00,
Zamboanga Peninsula,Kangkong,45.93,
Zamboanga Peninsula,Malunggay,47.54,
Zamboanga Peninsula,Pechay (Chinese),0.00,
Zamboanga Peninsula,Pechay (Native),92.22,
Zamboanga Peninsula,Onion Leaves,135.57,
Northern Mindanao,Cabbage,75.02,
Northern Mindanao,Cauliflower,0.00,
Northern Mindanao,Puso ng Saging,0.00,
Northern Mindanao,Kangkong,73.15,
Northern Mindanao,Malunggay,85.04,
Northern Mindanao,Pechay (Chinese),0.00,
Northern Mindanao,Pechay (Native),87.59,
Northern Mindanao,Onion Leaves,85.86,
Davao Region,Cabbage,67.96,
Davao Region,Cauliflower,0.00,
Davao Region,Puso ng Saging,18.63,
Davao Region,Kangkong,0.00,
Davao Region,Malunggay,0.00,
Davao Region,Pechay (Chinese),83.49,
Davao Region,Pechay (Native),97.83,
Davao Region,Onion Leaves,86.88,
SOCCSKSARGEN,Cabbage,63.05,
SOCCSKSARGEN,Cauliflower,157.98,
SOCCSKSARGEN,Puso ng Saging,0.00,
SOCCSKSARGEN,Kangkong,36.25,
SOCCSKSARGEN,Malunggay,0.00,
SOCCSKSARGEN,Pechay (Chinese),0.00,
SOCCSKSARGEN,Pechay (Native),72.33,
SOCCSKSARGEN,Onion Leaves,150.47,
Caraga,Cabbage,85.83,
Caraga,Cauliflower,0.00,
Caraga,Puso ng Saging,0.00,
Caraga,Kangkong,0.00,
Caraga,Malunggay,0.00,
Caraga,Pechay (Chinese),0.00,
Caraga,Pechay (Native),116.55,
Caraga,Onion Leaves,113.13,
BARMM,Cabbage,103.57,
BARMM,Cauliflower,242.50,
BARMM,Puso ng Saging,13.62,
BARMM,Kangkong,0.00,
BARMM,Malunggay,0.00,
BARMM,Pechay (Chinese),0.00,
